"","phylum","class","order","family","genus","species","specificEpithet","sex","sampleSizeValue","inTextReference","publicationYear","fullReference","body.mass","body.mass...units","body.mass...minimum","body.mass...maximum","body.mass...method","body.mass...comments","body.mass...metadata.comment","original.body.mass","original.body.mass...units","metabolic.rate","metabolic.rate...units","metabolic.rate...minimum","metabolic.rate...maximum","metabolic.rate...method","metabolic.rate...comments","metabolic.rate...metadata.comment","original.metabolic.rate","original.metabolic.rate...units","original.respiratoryQuotient","original.temperature","mass.specific.metabolic.rate","mass.specific.metabolic.rate...units","brain.size","brain.size...units","brain.size...minimum","brain.size...maximum","brain.size...method","brain.size...comments","brain.size...metadata.comment","original.brain.size","original.brain.size...units"
"1","Chordata","Amphibia","Anura","Hylidae","Hyla","Hyla versicolor","versicolor","",1,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.01315,"kg",NA,NA,"","",NA,"13.15","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",4.225844e-05,"kg",NA,NA,"histological reconstruction","total brain volume ","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",40.79,"mm3"
"2","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris triseriata","triseriata","",3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",1e-04,"kg",NA,NA,"","",NA,"0.1","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.25848e-06,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",2.18,"mm3"
"3","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans","crepitans","",3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",3e-04,"kg",NA,NA,"","",NA,"0.3","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",4.43408e-06,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",4.28,"mm3"
"4","Chordata","Amphibia","Anura","Ceratobatrachidae","Platymantis","Platymantis vitiensis","vitiensis","",1,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",3e-04,"kg",NA,NA,"","",NA,"0.3","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",4.93136e-06,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",4.76,"mm3"
"5","Chordata","Amphibia","Anura","Ranidae","Rana","Rana sylvatica","sylvatica","",3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.00037,"kg",NA,NA,"","",NA,"0.37","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",8.56772e-06,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",8.27,"mm3"
"6","Chordata","Amphibia","Anura","Ranidae","Rana","Rana pipiens","pipiens","",3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.0011,"kg",NA,NA,"","",NA,"1.1","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.03574e-05,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",19.65,"mm3"
"7","Chordata","Amphibia","Anura","Ranidae","Rana","Rana clamitans","clamitans","",3,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.00362,"kg",NA,NA,"","",NA,"3.62","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",3.915044e-05,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",37.79,"mm3"
"8","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis","laevis","",1,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.03237,"kg",NA,NA,"","",NA,"32.37","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",5.137524e-05,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",49.59,"mm3"
"9","Chordata","Amphibia","Anura","Rhionphrynidae","Rhinophrynus","Rhinophrynus dorsalis","dorsalis","",1,"Taylor, Nol, & Boire, 1995","1995","Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543",0.01657,"kg",NA,NA,"","",NA,"16.57","g",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",3.292408e-05,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed",31.78,"mm3"
"10","Arthropoda","Arachnida","Araneae","Ctenidae","Cupiennius","Cupiennius salei","salei","",5,"Weltzien & Barth, 1991","1991","Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.50712e-07,"kg",NA,NA,"histological reconstruction","","cross sctions were horizontally aligned and measured with microscopic device",2.42e+08,"um3"
"11","Arthropoda","Arachnida","Araneae","Araneidae","Nephila","Nephila clavipes","clavipes","",5,"Weltzien & Barth, 1991","1991","Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",6.30924e-08,"kg",NA,NA,"histological reconstruction","DONTWARN: checked value correct","cross sctions were horizontally aligned and measured with microscopic device",60900000,"um3"
"12","Arthropoda","Arachnida","Araneae","Theraphosidae","Ephebopus","Ephebopus sp.","sp.","",3,"Weltzien & Barth, 1991","1991","Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",3.82284e-07,"kg",NA,NA,"histological reconstruction","","cross sctions were horizontally aligned and measured with microscopic device",3.69e+08,"um3"
"13","Arthropoda","Arachnida","Araneae","Salticidae","Phidippus","Phidippus regius","regius","",3,"Weltzien & Barth, 1991","1991","Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.7454e-07,"kg",NA,NA,"histological reconstruction","","cross sctions were horizontally aligned and measured with microscopic device",2.65e+08,"um3"
"14","Arthropoda","Arachnida","Araneae","Araneidae","Zygiella","Zygiella x-notata","x-notata","",20,"Pasquet, Toscani, & Anotaux, 2018","2018","Pasquet, A., Toscani, C., & Anotaux, M. (2018). Influence of aging on brain and web characteristics of an orb web spider. Journal of Ethology, 36(1), 85-91. doi:10.1007/s10164-017-0530-z",3.9e-05,"kg",NA,NA,"","old spider",NA,"39","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.22248e-06,"kg",NA,NA,"histological reconstruction","old spider","surface areas were measured with microscope then rotated 90 deg and divided into seven sections, heights were calculated then volume was measured",1.18,"mm3"
"15","Arthropoda","Arachnida","Araneae","Araneidae","Zygiella","Zygiella x-notata","x-notata","",13,"Pasquet, Toscani, & Anotaux, 2018","2018","Pasquet, A., Toscani, C., & Anotaux, M. (2018). Influence of aging on brain and web characteristics of an orb web spider. Journal of Ethology, 36(1), 85-91. doi:10.1007/s10164-017-0530-z",2.9e-05,"kg",NA,NA,"","young spider",NA,"29","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.35716e-06,"kg",NA,NA,"histological reconstruction","young spider","surface areas were measured with microscope then rotated 90 deg and divided into seven sections, heights were calculated then volume was measured",1.31,"mm3"
"16","Arthropoda","Arachnida","Araneae","Mysmenidae","Mysmena","Mysmena sp.","sp.","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1e-07,"kg",NA,NA,"","",NA,"0.1","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",4.0404e-09,"kg",NA,NA,"histological reconstruction","CNS (includes volume of neuropil)","photographs of cross sections were taken and then reconstructed using PC-reconstruct",3.9,"x1e6 um3"
"17","Arthropoda","Arachnida","Araneae","Mysmenidae","Mysmenopsis","Mysmenopsis tengellacompa","tengellacompa","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",3e-07,"kg",NA,NA,"","",NA,"0.3","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.87516e-08,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",18.1,"x1e6 um3"
"18","Arthropoda","Arachnida","Araneae","Anapidae","Anapisona","Anapisona simoni","simoni","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",8e-07,"kg",NA,NA,"","",NA,"0.8","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.31572e-08,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",12.7,"x1e6 um3"
"19","Arthropoda","Arachnida","Araneae","Anapidae","Anapisona","Anapisona simoni","simoni","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",8e-07,"kg",NA,NA,"","",NA,"0.8","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.20176e-08,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",11.6,"x1e6 um3"
"20","Arthropoda","Arachnida","Araneae","Theridiidae","Faiditus","Faiditus elevatus","elevatus","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",3e-06,"kg",NA,NA,"","",NA,"3","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",3.39808e-08,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",32.8,"x1e6 um3"
"21","Arthropoda","Arachnida","Araneae","Theridiidae","Faiditus","Faiditus elevatus","elevatus","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2.4e-06,"kg",NA,NA,"","",NA,"2.4","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",5.51152e-08,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",53.2,"x1e6 um3"
"22","Arthropoda","Arachnida","Araneae","Theridiidae","Faiditus","Faiditus sp.","sp.","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2.7e-06,"kg",NA,NA,"","",NA,"2.7","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",5.57368e-08,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",53.8,"x1e6 um3"
"23","Arthropoda","Arachnida","Araneae","Araneidae","Eustala","Eustala illicita","illicita","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1.4e-05,"kg",NA,NA,"","",NA,"14","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",NA,"",NA,NA,"","","",NA,""
"24","Arthropoda","Arachnida","Araneae","Tetragnathidae","Leucauge","Leucauge mariana","mariana","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",6e-05,"kg",NA,NA,"","",NA,"60","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.580936e-07,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",152.6,"x1e6 um3"
"25","Arthropoda","Arachnida","Araneae","Tetragnathidae","Leucauge","Leucauge mariana","mariana","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",2e-05,"kg",NA,NA,"","",NA,"20","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.34162e-07,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",129.5,"x1e6 um3"
"26","Arthropoda","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","argentata","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",0.00025,"kg",NA,NA,"","",NA,"250","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",3.451952e-07,"kg",NA,NA,"histological reconstruction","","photographs of cross sections were taken and then reconstructed using PC-reconstruct",333.2,"x1e6 um3"
"27","Arthropoda","Arachnida","Araneae","Araneidae","Nephila","Nephila clavipes","clavipes","female",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",0.002,"kg",NA,NA,"","DONTWARN: checked; data valid, extreme sexual dimorphism",NA,"2000","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",6.6304e-07,"kg",NA,NA,"histological reconstruction","DONTWARN: checked; data valid, extreme sexual dimorphism","photographs of cross sections were taken and then reconstructed using PC-reconstruct",640,"x1e6 um3"
"28","Arthropoda","Arachnida","Araneae","Araneidae","Nephila","Nephila clavipes","clavipes","male",1,"Quesada et al., 2011","2011","Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002",1.12e-05,"kg",NA,NA,"","DONTWARN: checked; data valid, extreme sexual dimorphism",NA,"11.2","mg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.615124e-07,"kg",NA,NA,"histological reconstruction","DONTWARN: checked; data valid, extreme sexual dimorphism","photographs of cross sections were taken and then reconstructed using PC-reconstruct",155.9,"x1e6 um3"
"29","Arthropoda","Arachnida","Araneae","Agelenidae","Eratigena","Eratigena atrica","atrica","",10,"Napiorkowska & Kobak, 2017","2017","Napiorkowska, T., & Kobak, J. (2017). The allometry of the central nervous system during the postembryonic development of the spider Eratigena atrica. Arthropod Structure & Development, 46(6), 805-814. doi:10.1016/j.asd.2017.08.005",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",1.37788e-07,"kg",NA,NA,"histological reconstruction","","",0.133,"mm3"
"30","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.4503462158e-08,"kg",NA,NA,"micro-CT","supplementary material says data is in u3? In text units are um3 - no body mass recorded ","",23651990.5,"um3"
"31","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.20232955628e-08,"kg",NA,NA,"micro-CT","","",21258007.3,"um3"
"32","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.4336333084e-08,"kg",NA,NA,"micro-CT","","",23490669,"um3"
"33","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.29617674552e-08,"kg",NA,NA,"micro-CT","","",22163868.2,"um3"
"34","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.94616373604e-08,"kg",NA,NA,"micro-CT","","",28437873.9,"um3"
"35","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.43684882448e-08,"kg",NA,NA,"micro-CT","","",23521706.8,"um3"
"36","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.11184038492e-08,"kg",NA,NA,"micro-CT","","",20384559.7,"um3"
"37","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",3.49649815592e-08,"kg",NA,NA,"micro-CT","","",33749982.2,"um3"
"38","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",4.01069884348e-08,"kg",NA,NA,"micro-CT","","",38713309.3,"um3"
"39","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.5316848032e-08,"kg",NA,NA,"micro-CT","","",24437112,"um3"
"40","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","male",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",3.87650902688e-08,"kg",NA,NA,"micro-CT","","",37418040.8,"um3"
"41","Arthropoda","Arachnida","Araneae","Deinopidae","Deinopis","Deinopis spinosa","spinosa","female",1,"Stafstrom, Michalik, & Hebets, 2017","2017","Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",2.90785670364e-08,"kg",NA,NA,"micro-CT","","",28068114.9,"um3"
